smiles,name
c1ccc2c(c1OC)C(=O)c1c(C2=O)c(c2c(c1O)[C@H](C[C@@](C2)(C(=O)CO)O)O[C@H]1C[C@@H]([C@@H]([C@@H](O1)C)O)N)O.Cl,42
c1(=O)[nH]c(=O)c(c[nH]1)F,43
n1c(nc2c(c1N)nc(cn2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C)N,44
c1c(cc2c(c1)n(c(n2)CCCC(=O)O)C)N(CCCl)CCCl.Cl,45
n1c(nc2c(c1OC)ncn2[C@H]1[C@H]([C@@H]([C@H](O1)CO)O)O)N,46
n1c(nc2c(c1N)ncn2[C@H]1[C@H]([C@@H]([C@H](O1)CO)O)F)Cl,47
N1C(=O)CN(CC1=O)C[C@@H](N1CC(=O)NC(=O)C1)C.Cl,48
c1ccc2c(c1OC)C(=O)c1c(C2=O)c(c2c(c1O)[C@H](C[C@@](C2)(C(=O)CO)O)O[C@H]1C[C@@H]([C@H]([C@@H](O1)C)O)N)O.Cl,49
[C@H]12[C@@H]([C@@H](c3c([C@H]1c1cc(c(c(c1)OC)O)OC)cc1c(c3)OCO1)O[C@@H]1O[C@H]3[C@H]([C@@H]([C@H]1O)O)O[C@@H](OC3)C)COC2=O,50
c1(ccc2c(c1)sc(c2C(=O)c1ccc(cc1)OCCN1CCCCC1)c1ccc(cc1)O)O.Cl,51
n1c(nc2c(c1N)ncn2[C@H]1[C@H]([C@@H]([C@H](O1)COP(=O)(O)O)O)O)F,52
c1(ccc2c(c1CN(C)C)cc1c(n2)c2n(C1)c(=O)c1c(c2)[C@](C(=O)OC1)(CC)O)O.Cl,53
c1(c(cc2c(c1)[C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)O)C)O)OC,54
c1cc(ccc1C(n1ncnc1)c1ccc(cc1)C#N)C#N,55
n1(nnc2n(c1=O)cnc2C(=O)N)C,56
C(=O)(C)NCCc1cccc2ccc(cc12)OC,57
c1(ccc(cc1)C(F)(F)F)NC(=O)c1cnoc1C,58
c1(c(ccc(c1)N1C(=S)N(C(=O)C1(C)C)c1ccc(c(c1)C(F)(F)F)C#N)C(=O)NC)F,59
C1(=O)CCC2=C3[C@@H](CCC2=C1)[C@@H]1CC[C@@]([C@@]1(C)CC3)(O)CC#N,60
C(=O)(Cc1c(c(ccc1)C(=O)c1ccccc1)N)N,61
c1(ccc(cc1)N1CCN(CC1)c1ccc(cc1)OC[C@@H]1CO[C@](C1)(c1ccc(cc1F)F)Cn1ncnc1)n1c(=O)n(nc1)[C@H]([C@H](C)O)CC,62
C(=O)(C(c1c(cccc1)F)N1Cc2c(CC1)sc(c2)OC(=O)C)C1CC1,63
c1c2c(c3c(c1)CC[C@H]3CCNC(=O)CC)CCO2,64
c1c(cc(cc1)CCCN[C@@H](c1cccc2c1cccc2)C)C(F)(F)F.Cl,65
c1(ccc(cc1)S(=O)(=O)N)n1c(cc(n1)C(F)(F)F)c1ccc(cc1)C,66
c1(cnc2c(c1)c(c[nH]2)C(=O)c1c(c(ccc1F)NS(=O)(=O)CCC)F)c1ccc(cc1)Cl,67
c1(c(ccc(c1)c1cc2c(cc1)cc(cc2)C(=O)O)OC)C12CC3CC(C1)CC(C2)C3,68
n1c(nc(nc1N(C)C)N(C)C)N(C)C,69
C1C(N(CC1)CC)CNC(=O)c1cc(c(cc1OC)N)S(=O)(=O)CC,70
c1(ccc(cc1)C(=O)N1C(=O)CCC1)OC,71
c12c([C@@H]3[C@@H](c4c(O1)ccc(c4)Cl)CN(C3)C)cccc2.C(=O)(O)/C=C\\C(=O)O,72
N1(C(=O)[C@H](CCc2c1cccc2)N[C@H](C(=O)OCC)CCc1ccccc1)CC(=O)O.Cl,73
C1=C[C@]2(C(=CC1=O)CC[C@@H]1[C@@H]2[C@H](C[C@]2([C@H]1C[C@@H]1[C@]2(O[C@@H](O1)CCC)C(=O)CO)C)O)C,74
c1c(c(c(cc1C(=O)O)NCCCC)Oc1ccccc1)S(=O)(=O)N,75
c1(c(=O)[nH]c(=O)n(c1)C(=O)NCCCCCC)F,76
c1ccccc1C(c1ccc(cc1)Cl)N1CCN(CC1)CCOCC(=O)O.Cl.Cl,77
c1ccc(cc1C1C(=C(NC(=C1C(=O)OCCOC)C)C)C(=O)OC/C=C/c1ccccc1)[N+](=O)[O-],78
c1(ccc(cc1)/C(=C(/c1ccc(cc1)O)\\CC)/CC)O,79
c12N(C(=O)[C@@H]([C@@H](Sc1cccc2)c1ccc(cc1)OC)OC(=O)C)CCN(C)C.Cl,80
c1cc(ccc1)C(c1ccccc1)OCCN(C)C.Cl,81
c1ccc2c(c1OCC[C@@H](c1ccccc1)N(C)C)cccc2.Cl,82
c1c(c(c2c(c1)NC1=NC(=O)CN1C2)Cl)Cl.Cl,83
n1(n(c(=O)cc1C)c1ccccc1)C,84
C1(=C(NC(=C(C1c1cccc(c1Cl)Cl)C(=O)OC)C)C)C(=O)OCC,85
C1=C[C@]2(C(=CC1=O)CC[C@@H]1[C@@H]2[C@H](C[C@]2([C@H]1C[C@@H]1[C@]2(N=C(O1)C)C(=O)COC(=O)C)C)O)C,86
s1c(nc(c1)CSCCN/C(=C\\[N+](=O)[O-])/NC)CN(C)C,87
c1c(ccc(c1)C(=O)CCN1CCCCC1)OCCCC.Cl,88
c1(c(ccc(c1)C[C@](C(=O)O)(C)NN)O)O,89
c1(ccc(cc1)c1ccccc1c1nn[nH]n1)CN([C@@H](C(C)C)C(=O)O)C(=O)CCCC,90
n1c(nc2c(c1N1CCCCC1)nc(nc2N1CCCCC1)N(CCO)CCO)N(CCO)CCO,91
N(C(=O)N)O,92
[K+].[I-],93
c1ccc2c(c1)C(C=N2)C(=O)OC1C[C@@H]2CC[C@@H](N2C)C1.Cl,94
c1cncc(c1)C(=O)N,95
[C@H]1([C@](C2=N[C@H]1[C@]1([C@]([C@@H](/C(=C(/C3=N/C(=C\\C4=N/C(=C\\2/C)/[C@H](C4(C)C)CCC(=O)N)/[C@H]([C@]3(C)CC(=O)N)CCC(=O)N)\\C)/[N-]1)CCC(=O)N)(CC(=O)N)C)C)(CCC(=O)NC[C@H](OP(=O)(O[C@H]1[C@H]([C@H](O[C@@H]1CO)n1cnc2c1cc(c(c2)C)C)O)[O-])C)C)CC(=O)N.[Co+2]C#N,96
c1c(c(c(cc1)Cl)Nc1c(CC(=O)[O-])cccc1)Cl.[Na+],97
n1(CCO)c(cnc1C)[N+](=O)[O-],98
c1(c(cc(cc1)NC(=O)C(C)C)C(F)(F)F)[N+](=O)[O-],99
c12c(cccc1)n(c(c2c1ccc(cc1)F)/C=C/[C@H](C[C@H](CC(=O)[O-])O)O)C(C)C.[Na+],100
c1c(ccc(c1)S(=O)(=O)Nc1cc(on1)C)N,101
c1c(ccc(c1)S(=O)(=O)Nc1c(c(no1)C)C)N,102
c1cc(ccc1N(C)C)C(=C1C=CC(=[N+](C)C)C=C1)c1ccc(cc1)N(C)C.[Cl-],103
c1(ccc(cc1)C(=O)CCCN1CCC(CC1)(c1ccc(cc1)Cl)O)F,104
c1ccc2c(c1)C(=O)C(C2=O)c1ccccc1,105
C1=C[C@]2(C(=CC1=O)CC[C@@H]1[C@@]2([C@H](C[C@]2([C@H]1C[C@H]([C@@]2(C(=O)CO)O)O)C)O)F)C,106
c1(nc2c(n1Cc1ccc(cc1)c1c(cccc1)c1[nH]oc(=O)n1)c(ccc2)C(=O)OCc1oc(=O)oc1C)OCC,107
c1(c(c(ccc1)C)C)C(c1nc[nH]c1)C.Cl,108
c1(c2c(c(c(c1)Cl)N)CCO2)C(=O)NC1CCN(CC1)CCCOC,109
C1C(=O)Nc2c(C1)cc(cc2)OCCCCc1n(nnn1)C1CCCCC1,110
O1[C@@H]([C@H](C[C@@H]1n1cc(c(=O)[nH]c1=O)F)O)CO,111
[nH]1c(=O)n(cc(c1=O)F)[C@@H]1OCCC1,112
C1COP(=O)(N(C1)CCCl)NCCCl,113
C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](C=C2C)[C@H]2[C@](CC1)([C@](CC2)(C(=O)C)OC(=O)C)C)C,114
